"Gene","Location","Probe","MedianBvalTumor","MedianBvalNormal","Corr","GTMT","GTMB","GTMut","GTCG","GTCD","GBMT","GBMB","GBMut","GBCG","GBCD","MTMut","MTCG","MTCD","MBMut","MBCG","MBCD","MutCG","MutCD","GTMTnSig","GTMBnSig","GBMTnSig","GBMBnSig"
"NXN","GeneBody","cg06097704","0.8251","0.6928","0.584304734438646","29","2","0","14","29","6","46","1","6","49","0","15","34","1","7","45","0","0","2","0","1","2"
"NXN","GeneBody","cg10546890","0.9039","0.9314","0.808878155795465","26","0","0","14","29","2","53","1","6","49","0","11","36","1","13","40","0","0","1","3","0","1"
"NXN","GeneBody","cg14717116","0.633","0.7898","0.500541257461844","33","1","0","14","29","2","54","1","6","49","0","10","37","1","8","45","0","0","0","1","0","2"
"NXN","GeneBody","cg14008999","0.5937","0.4785","-0.326693781458589","29","2","0","14","29","5","50","1","6","49","0","13","45","1","9","37","0","0","0","2","2","1"
"TRIM2","GeneBody","cg01942226","0.4858","0.5858","0.280881243601896","4","29","2","13","18","40","5","0","3","47","0","4","40","1","12","22","1","1","0","1","2","0"
"TRIM2","GeneBody","cg17943647","0.4401","0.6812","0.568395003024072","4","29","2","13","18","36","5","0","3","47","0","3","38","1","15","18","1","1","0","1","3","0"
"TRIM2","GeneBody","cg22280771","0.884","0.9369","0.200637488472537","11","26","2","13","18","15","12","0","3","47","0","4","30","1","13","30","1","1","1","2","0","1"
"TRIM2","GeneBody","cg08555594","0.8551","0.9467","0.261115101255733","11","28","2","13","18","19","10","0","3","47","0","4","41","1","15","29","1","1","0","2","0","1"
"TRIM2","GeneBody","cg16708623","0.2914","0.5359","0.537591077734828","4","27","2","13","18","36","4","0","3","47","0","4","35","1","15","19","1","1","0","1","3","0"
"TRIM2","GeneBody","cg02616418","0.3447","0.4614","0.193191439066107","6","30","2","13","18","32","3","0","3","47","0","5","33","0","12","23","1","1","1","0","2","1"
"MCF2","GeneBody","cg06959635","0.3178","0.3165","-0.0945650358760251","19","13","2","10","12","0","0","0","0","0","2","11","17","1","15","20","0","1","1","1","0","2"
"MCF2","GeneBody","cg21557231","0.4169","0.5254","0.318392912536774","21","15","2","10","12","0","0","0","0","0","1","14","10","3","9","19","0","1","1","0","0","2"
"MCF2","GeneBody","cg12116535","0.2935","0.4881","0.111426542977904","19","10","2","10","12","0","0","0","0","0","3","16","20","1","13","21","0","1","1","1","1","1"
"ZNF613,ZNF649-AS1,ZNF577","NA","cg11269599","0.3271","0.1353","0.388784859308548","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ZNF613,ZNF649-AS1,ZNF577","NA","cg24794228","0.2877","0.0915","0.531824116186288","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ZNF613,ZNF649-AS1,ZNF577","NA","cg23010048","0.4392","0.2237","0.402986160011942","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ZNF613,ZNF649-AS1,ZNF577","NA","cg03562414","0.397","0.1563","0.467688336397375","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ZNF613,ZNF649-AS1,ZNF577","NA","cg13393830","0.5602","0.4346","0.400386080198031","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ZNF613,ZNF649-AS1,ZNF577","NA","cg16731240","0.4523","0.1647","0.36937466325725","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ZNF613,ZNF649-AS1,ZNF577","NA","cg10635122","0.3668","0.1983","0.339601917655832","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ZNF613,ZNF649-AS1,ZNF577","NA","cg10783469","0.4333","0.2446","0.417596301909865","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ZNF613,ZNF649-AS1,ZNF577","NA","cg09547119","0.4218","0.2267","0.453229845393716","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RAVER2","GeneBody","cg23818351","0.8399","0.9109","0.293035028583919","25","21","1","27","5","6","22","0","19","14","0","21","8","0","17","15","1","0","2","0","0","1"
"CTD-2128A3.2","AfterGene","cg12875720","0.5243","0.8376","-0.11127023185812","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"FRMD4A","GeneBody","cg11703729","0.3472","0.6827","0.20631602731771","22","15","1","40","2","9","22","1","21","21","4","18","11","5","34","12","4","2","1","1","1","2"
"FRMD4A","GeneBody","cg00407040","0.5517","0.8969","0.305129980817817","15","16","1","40","2","9","23","1","21","21","1","19","10","3","38","11","4","2","1","0","0","2"
"FRMD4A","GeneBody","cg02347573","0.4359","0.8461","0.193416451601451","23","12","1","40","2","9","25","1","21","21","3","19","12","5","37","11","4","2","1","1","1","2"
"FRMD4A","GeneBody","cg15803756","0.3578","0.3157","-0.0785568904807649","12","23","1","40","2","17","18","1","21","21","1","36","10","3","30","11","4","2","1","1","1","0"
"FRMD4A","GeneBody","cg04700861","0.5769","0.9151","0.21658228276959","20","13","1","40","2","11","22","1","21","21","3","18","14","3","40","11","4","2","2","0","0","3"
"FRMD4A","GeneBody","cg06339003","0.6371","0.9016","-0.0878293275295358","17","14","1","40","2","10","26","1","21","21","1","11","10","4","40","11","4","2","2","0","0","2"
"FRMD4A","GeneBody","cg23443098","0.5042","0.7157","0.0953965531391581","21","13","1","40","2","10","29","1","21","21","2","16","14","4","34","12","4","2","1","2","1","0"
"FRMD4A","GeneBody","cg23556574","0.5807","0.7444","0.182122192983261","21","10","1","40","2","8","23","1","21","21","1","22","9","4","37","12","4","2","1","0","1","1"
"FRMD4A","GeneBody","cg05163663","0.6161","0.8561","0.187661427617643","13","11","1","40","2","12","31","1","21","21","1","13","10","4","40","10","4","2","1","0","1","2"
"FRMD4A","GeneBody","cg10198568","0.4124","0.8978","-0.0130696762409478","15","23","1","40","2","18","16","1","21","21","3","11","16","4","31","9","4","2","1","1","1","1"
"FRMD4A","GeneBody","cg25760783","0.6286","0.918","0.251251658855111","14","12","1","40","2","10","28","1","21","21","2","14","7","3","45","11","4","2","2","0","0","2"
"FRMD4A","GeneBody","cg17300870","0.4501","0.8719","0.154024054793803","16","12","1","40","2","10","24","1","21","21","2","16","11","3","37","11","4","2","1","0","0","2"
"FRMD4A","AfterGene","cg05353356","0.7284","0.929","-0.0869898661917181","15","18","1","40","2","14","22","1","21","21","1","14","12","3","46","7","4","2","1","0","0","2"
"FRMD4A","GeneBody","cg25344406","0.443","0.8183","0.0798608092823679","15","16","1","40","2","11","23","1","21","21","2","17","16","4","38","12","4","2","1","0","1","2"
"FRMD4A","GeneBody","cg19998150","0.372","0.3512","-0.138863833609961","17","18","1","40","2","15","17","1","21","21","0","31","6","3","35","17","4","2","1","0","1","1"
"FRMD4A","GeneBody","cg07629776","0.3856","0.7673","0.33209883405899","19","13","1","40","2","11","28","1","21","21","2","19","14","5","28","14","4","2","2","1","0","3"
"FRMD4A","GeneBody","cg14672137","0.6616","0.9138","0.314373634379544","24","11","1","40","2","8","29","1","21","21","3","26","10","5","36","11","4","2","2","0","1","2"
"FRMD4A","GeneBody","cg04819048","0.4674","0.911","0.184510704335561","14","12","1","40","2","13","29","1","21","21","2","12","8","3","37","13","4","2","2","0","0","1"
"FRMD4A","GeneBody","cg25932446","0.4783","0.6989","0.211556117272265","21","16","1","40","2","7","30","1","21","21","1","26","11","5","26","15","4","2","1","1","1","3"
"FRMD4A","GeneBody","cg06858087","0.6817","0.8802","0.197250693896643","22","15","1","40","2","11","24","1","21","21","1","20","9","3","35","10","4","2","2","0","1","1"
"FRMD4A","GeneBody","cg15470075","0.4286","0.849","0.165315430846948","19","9","1","40","2","12","26","1","21","21","2","13","13","4","38","11","4","2","3","0","0","2"
"FRMD4A","GeneBody","cg05335944","0.4465","0.7501","0.0259515696292192","10","22","1","40","2","21","11","1","21","21","4","17","15","3","31","6","4","2","0","1","1","1"
"FRMD4A","GeneBody","cg14649650","0.0294","0.021","-0.280161961263115","15","21","1","40","2","16","14","1","21","21","1","40","7","4","39","6","4","2","0","1","2","2"
"RP11-310E22.4","GeneBody","cg15454820","0.4958","0.2111","0.19421027399421","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ZIC5","AfterGene","cg18557131","0.5526","0.1132","0.179425317479526","11","14","0","31","13","0","0","0","0","0","0","33","10","0","19","19","1","1","2","0","0","0"
"ZIC5","AfterGene","cg11591636","0.3485","0.1935","0.076469897504309","28","8","0","31","13","0","0","0","0","0","0","31","12","0","29","14","1","1","1","0","0","0"
"ZIC5","AfterGene","cg10679688","0.4886","0.2078","0.00130606127155148","23","8","0","31","13","0","0","0","0","0","0","29","12","0","25","17","1","1","2","0","0","0"
"ZIC5","GeneBody","cg03313945","0.3503","0.1109","0.441352180831213","3","32","0","31","13","0","0","0","0","0","0","35","17","0","25","17","1","1","2","0","0","0"
"ZIC5","AfterGene","cg16033633","0.3126","0.1319","0.15662332401657","23","8","0","31","13","0","0","0","0","0","0","34","12","0","30","8","1","1","3","0","0","0"
"ZIC5","GeneBody","cg12907379","0.4323","0.0385","0.128606661093647","17","11","0","31","13","0","0","0","0","0","1","35","10","0","20","12","1","1","2","0","0","0"
"ZIC5","GeneBody","cg20985450","0.5953","0.0409","0.296232096937424","7","25","0","31","13","0","0","0","0","0","0","33","15","0","14","18","1","1","3","0","0","0"
"ANK1","GeneBody","cg17331296","0.1249","0.0313","0.442144551405331","21","13","5","32","22","22","12","3","27","21","5","36","19","4","27","23","9","6","2","1","0","1"
"ANK1","GeneBody","cg14904662","0.0904","0.1006","0.364543545342191","12","18","5","32","22","23","19","3","27","21","2","32","23","3","34","11","9","6","1","1","0","1"
"ANK1","GeneBody","cg05166490","0.1417","0.0263","0.644220816700337","20","12","5","32","22","23","13","3","27","21","4","33","17","3","26","26","9","6","2","1","0","1"
"ANK1","AfterGene","cg19585816","0.0963","0.1103","0.483267489113311","20","16","5","32","22","16","18","3","27","21","4","33","23","2","38","23","9","6","2","2","0","0"
"ANK1","GeneBody","cg19537719","0.1454","0.2052","0.0407190053616239","36","6","5","32","22","4","33","3","27","21","5","27","32","4","34","10","9","6","0","2","1","0"
"ANK1","GeneBody","cg13432087","0.6268","0.7999","0.148133929905877","34","12","5","32","22","7","25","3","27","21","5","20","35","4","30","11","9","6","0","2","3","0"
"ANK1","GeneBody","cg21342785","0.6807","0.7571","-0.0821431773999716","19","10","5","32","22","9","29","3","27","21","6","23","23","4","32","25","9","6","2","0","1","1"
"ANK1","GeneBody","cg02716401","0.6429","0.957","0.402600870470915","15","11","5","32","22","13","26","3","27","21","6","17","26","4","35","14","9","6","1","1","3","0"
"APBA2","GeneBody","cg05790451","0.2242","0.1364","0.254278661539179","43","4","1","13","31","4","38","1","9","26","2","11","44","0","9","20","1","4","2","0","0","4"
"APBA2","GeneBody","cg14794445","0.5794","0.7433","0.17940983139503","52","0","1","13","31","2","46","1","9","26","3","9","36","1","12","21","1","4","1","0","1","2"
"APBA2","GeneBody","cg07148167","0.5773","0.9043","0.404946325444698","53","0","1","13","31","1","47","1","9","26","2","8","44","1","15","21","1","4","1","1","2","0"
"APBA2","GeneBody","cg17279773","0.7188","0.9692","0.41371062465255","45","0","1","13","31","4","40","1","9","26","3","7","35","3","11","28","1","4","2","1","0","1"
"APBA2","GeneBody","cg02983043","0.6994","0.9162","0.301601249986495","48","0","1","13","31","1","45","1","9","26","3","6","40","1","15","19","1","4","1","1","1","0"
"APBA2","GeneBody","cg15605858","0.3397","0.1658","0.140841522314125","49","5","1","13","31","4","36","1","9","26","3","9","38","2","9","25","1","4","2","0","0","4"
"APBA2","GeneBody","cg24195796","0.5779","0.6446","0.392255083594231","24","8","1","13","31","2","41","1","9","26","4","3","35","0","12","21","1","4","2","1","0","0"
"APBA2","GeneBody","cg02331808","0.4592","0.6141","0.596632884469482","49","0","1","13","31","1","48","1","9","26","3","6","45","1","14","18","1","4","3","1","0","1"
"APBA2","GeneBody","cg12491805","0.6429","0.9711","0.201719542341784","39","8","1","13","31","9","27","1","9","26","4","10","37","2","16","19","1","4","1","2","0","0"
"APBA2","GeneBody","cg01886303","0.4884","0.862","0.142476542101081","40","4","1","13","31","2","46","1","9","26","3","6","41","0","14","19","1","4","0","1","4","0"
"APBA2","GeneBody","cg00392396","0.6412","0.924","0.245510520945267","37","6","1","13","31","3","40","1","9","26","3","6","38","0","15","23","1","4","0","1","3","0"
"APBA2","GeneBody","cg17141783","0.5431","0.8973","0.247861667776108","45","6","1","13","31","5","37","1","9","26","3","7","40","2","17","23","1","4","0","2","2","0"
"APBA2","GeneBody","cg22135269","0.6374","0.7964","0.78176068117043","39","1","1","13","31","5","42","1","9","26","4","6","31","1","11","22","1","4","1","0","1","2"
"APBA2","GeneBody","cg10768063","0.591","0.7977","0.358202239163623","45","0","1","13","31","5","44","1","9","26","2","9","36","1","11","24","1","4","0","1","3","0"
"NR1H2,KCNC3","NA","cg09988853","0.114233333333","0.0771","0.18766118931928","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"NR1H2,KCNC3","NA","cg13670833","0.5354","0.1419","0.176959015213824","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"NR1H2,KCNC3","NA","cg19753794","0.0156","0.0147","0.284313676345679","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"NR1H2,KCNC3","NA","cg17838026","0.0586","0.063","-0.00680040490868029","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RP11-497G19.3","Promoter","cg12494683","0.7673","0.8952","0.355395688082379","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RP11-497G19.3","Promoter","cg23126203","0.666","0.7747","0.0684026171185295","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RP11-497G19.3","Promoter","cg20637688","0.7323","0.7943","0.377757400505981","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ACACA","GeneBody","cg26534468","0.7643","0.8464","0.339730878700751","13","22","8","52","5","17","13","5","16","9","4","38","8","3","28","6","6","1","2","0","1","2"
"ACACA","GeneBody","cg17939040","0.8845","0.8093","0.483117176048554","17","18","8","52","5","14","20","5","16","9","4","33","9","5","29","5","6","1","4","0","0","2"
"ACACA","GeneBody","cg01760189","0.7305","0.6287","0.690704184915305","14","23","8","52","5","20","17","5","16","9","6","25","9","6","35","6","6","1","0","0","2","2"
"HMGCLL1","GeneBody","cg06401021","0.2661","0.1186","0.0977820405246871","9","17","1","14","20","0","0","0","0","0","1","23","11","2","18","20","0","2","0","1","2","1"
"HMGCLL1","AfterGene","cg22508969","0.0727","0.0564","-0.241433844174806","12","17","1","14","20","0","0","0","0","0","1","21","12","2","19","15","0","2","0","2","2","0"
"HMGCLL1","GeneBody","cg11907729","0.2809","0.0575","0.38082765548824","7","21","1","14","20","0","0","0","0","0","1","24","14","2","20","16","0","2","1","1","2","1"
"HMGCLL1","AfterGene","cg07369569","0.4212","0.8837","-0.107094115590258","30","12","1","14","20","0","0","0","0","0","2","20","21","0","21","14","0","2","1","0","1","3"
"HMGCLL1","GeneBody","cg26963356","0.2939","0.115","0.156985702782852","8","20","1","14","20","0","0","0","0","0","1","22","13","2","21","21","0","2","1","1","2","1"
"HMGCLL1","AfterGene","cg21705897","0.0496","0.0318","-0.359316467878363","11","21","1","14","20","0","0","0","0","0","2","23","12","1","18","14","0","2","0","1","2","1"
"RP11-21C4.1","GeneBody","cg23778149","0.3294","0.2493","-0.0432347930806952","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RP11-21C4.1","GeneBody","cg07283114","0.1523","0.0499","0.00729952250915254","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RP11-21C4.1","GeneBody","cg16510548","0.471","0.1926","0.120844429415282","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RP11-21C4.1","AfterGene","cg11382529","0.5261","0.376","0.211461919644735","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TEX29","Promoter","cg04752989","0.696","0.9681","0.387794536632784","0","0","0","0","0","0","0","0","0","0","1","29","11","0","34","11","2","0","0","0","0","0"
"TEX29","GeneBody","cg16121807","0.737","0.9072","0.25945864909214","0","0","0","0","0","0","0","0","0","0","1","27","9","1","37","14","2","0","0","0","0","0"
"TEX29","GeneBody","cg01963754","0.34","0.8926","0.126241130975906","0","0","0","0","0","0","0","0","0","0","1","24","11","1","33","14","2","0","0","0","0","0"
"TRIM36","GeneBody","cg10569615","0.1213","0.0231","0.323601540406192","21","17","1","8","33","14","18","1","3","44","1","7","40","2","6","42","0","3","1","1","1","1"
"TRIM36","GeneBody","cg05725804","0.2904","0.1275","0.355132800012356","17","14","1","8","33","14","22","1","3","44","1","5","42","3","5","43","0","3","1","1","1","2"
"TRIM36","GeneBody","cg19636656","0.1513","0.0638","0.293908975383584","15","10","1","8","33","19","22","1","3","44","1","9","40","2","4","44","0","3","0","2","2","0"
"TRIM36","GeneBody","cg09463882","0.2348","0.0313","0.272957651102738","17","12","1","8","33","17","19","1","3","44","0","4","40","2","4","48","0","3","1","0","1","0"
"TRIM36","GeneBody","cg16604243","0.4958","0.0519","0.394225584936555","15","13","1","8","33","23","20","1","3","44","0","7","41","2","4","44","0","3","1","1","1","0"
"TRIM36","GeneBody","cg15693415","0.6967","0.8526","-0.230954275102238","26","2","1","8","33","8","35","1","3","44","3","8","23","4","3","37","0","3","0","1","0","1"
"DRD3","GeneBody","cg08479865","0.4221","0.8933","-0.184084907348937","6","4","0","11","0","0","0","0","0","0","0","22","10","0","36","8","0","1","0","1","0","0"
"ARHGEF4","GeneBody","cg13024709","0.0611","0.043","0.163607983830569","27","10","2","5","11","18","13","0","21","24","2","13","24","0","14","17","0","0","1","0","3","1"
"ARHGEF4","GeneBody","cg00401745","0.4933","0.2896","0.266940742184834","22","1","2","5","11","2","44","0","21","24","0","10","23","0","12","19","0","0","1","1","0","2"
"ARHGEF4","GeneBody","cg22098115","0.3687","0.047","0.378044960086574","26","5","2","5","11","21","15","0","21","24","1","11","24","0","13","20","0","0","1","2","2","0"
"ARHGEF4","GeneBody","cg09015973","0.6845","0.3596","-0.0831685468062628","17","2","2","5","11","7","42","0","21","24","0","8","21","0","12","21","0","0","1","2","1","1"
"ARHGEF4","GeneBody","cg09388540","0.417","0.8147","0.16703434545396","11","15","2","5","11","6","18","0","21","24","2","5","17","0","11","24","0","0","3","0","0","1"
"ARHGEF4","GeneBody","cg26820055","0.2324","0.033","0.362267141251952","23","8","2","5","11","23","16","0","21","24","0","12","23","0","12","20","0","0","1","1","2","1"
"ARHGEF4","GeneBody","cg00028678","0.6438","0.3596","0.251337943743318","18","1","2","5","11","6","45","0","21","24","0","9","24","0","14","18","0","0","1","2","1","1"
"ARHGEF4","GeneBody","cg22061831","0.3188","0.0324","0.421540721662419","35","3","2","5","11","9","18","0","21","24","2","9","18","0","15","17","0","0","1","1","2","0"
"RFX4,RP11-144F15.1","NA","cg26400835","0.5156","0.7264","0.127142769829741","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RFX4,RP11-144F15.1","NA","cg10040329","0.4613","0.1408","0.0592471066417302","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RFX4,RP11-144F15.1","NA","cg21961487","0.4732","0.1558","-0.0589419326646803","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RFX4,RP11-144F15.1","NA","cg25566352","0.044","0.0361","0.00678370870865348","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RFX4,RP11-144F15.1","NA","cg18075315","0.3724","0.2384","0.0801532821061658","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RFX4,RP11-144F15.1","NA","cg00450784","0.1734","0.0509","-0.129539988242379","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RFX4,RP11-144F15.1","NA","cg18061259","0.0527","0.0463","0.0765194416470087","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RFX4,RP11-144F15.1","NA","cg21176643","0.2433","0.0292","-0.181411315537946","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RFX4,RP11-144F15.1","NA","cg02874031","0.386","0.5113","0.419833756145589","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RFX4,RP11-144F15.1","NA","cg00379648","0.3976","0.0451","-0.129799577226764","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IGHM,IGHG1,IGHG3","NA","cg13074055","0.5039","0.8113","0.281618867856643","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IGHM,IGHG1,IGHG3","NA","cg05407555","0.5736","0.9176","0.426160148106852","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IGHM,IGHG1,IGHG3","NA","cg10845171","0.5627","0.9272","0.412586804520102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IGHM,IGHG1,IGHG3","NA","cg04903883","0.7261","0.9712","0.239112736365454","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"VCAM1","GeneBody","cg25762679","0.6432","0.2902","-0.291778860701164","1","36","1","16","13","38","9","3","14","14","3","11","15","2","10","11","1","2","1","1","0","2"
"VCAM1","GeneBody","cg22454770","0.7619","0.9174","-0.0473219699640853","30","3","1","16","13","14","28","3","14","14","3","18","9","1","19","12","1","2","1","0","1","0"
"ZFR2","GeneBody","cg25504273","0.5724","0.9384","0.360591624862522","26","9","1","12","26","0","0","0","0","0","0","8","36","2","14","18","0","4","2","0","0","2"
"ZFR2","GeneBody","cg14950747","0.5003","0.9446","0.338399909216771","20","11","1","12","26","0","0","0","0","0","2","6","32","2","14","27","0","4","1","1","0","1"
"ZFR2","AfterGene","cg13786089","0.2105","0.143","-0.0736714682981203","4","29","1","12","26","0","0","0","0","0","2","14","28","3","6","36","0","4","1","0","1","2"
"ZFR2","GeneBody","cg26746037","0.6753","0.9675","0.14974582219684","13","15","1","12","26","0","0","0","0","0","1","10","28","1","12","26","0","4","1","0","0","1"
"ZFR2","GeneBody","cg17341326","0.893","0.985","0.0960995122361394","14","18","1","12","26","0","0","0","0","0","0","10","28","1","12","30","0","4","0","1","2","1"
"ZFR2","GeneBody","cg03126579","0.3591","0.0814","0.336763854732902","10","20","1","12","26","0","0","0","0","0","3","12","20","1","14","41","0","4","0","1","1","0"
"ZFR2","GeneBody","cg24046083","0.5704","0.9273","0.15483097973316","23","12","1","12","26","0","0","0","0","0","2","7","36","1","14","26","0","4","0","0","1","1"
"ZFR2","GeneBody","cg17672101","0.3975","0.6742","-0.0110561692864064","24","11","1","12","26","0","0","0","0","0","1","6","41","2","15","22","0","4","1","0","1","1"
"ZFR2","GeneBody","cg12034488","0.7484","0.917","0.300243849094292","17","16","1","12","26","0","0","0","0","0","1","7","34","1","16","28","0","4","0","1","1","2"
"NKX6-2","AfterGene","cg00701692","0.4706","0.1254","0.102955024332659","3","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"NKX6-2","AfterGene","cg01303723","0.4243","0.0181","0.228575525844729","3","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
